id,title,description,youtube_link,skill,duration,band_range,published_at,is_published,created_at
,Module-1/Fundamentals-Question Types,Not available,null,R,9:36,null,null,null,null
,Module-3/Type-2-True-False-Not Given(Partially True),Not available,null,R,9:24,null,null,null,null
,Module-4/Type-3-Matching(Part-1),Not available,null,R,Not available,null,null,null,null
,Module-4/Type-3-Matching(Part-2),Not available,null,R,9:59,null,null,null,null
,Module-4/Type-3-Matching(Part-3),Not available,null,R,4:03,null,null,null,null
,Task-1/Module-1/Task-1-Fundamentals(Writing-tool:Typing-Club),Not available,null,W,4:59,null,null,null,null
,Task-1/Module-3/Numerical-charts(Line-Graph-Body-Paragraph-1),Not available,null,W,9:59,null,null,null,null
,Task-1/Module-3/Numerical-charts(Line-Graph-Body-Paragraph-2),Not available,null,W,9:31,null,null,null,null
,Task-1/Module-3/Numerical-charts(Line-Graph-Introduction),Not available,null,W,7:28,null,null,null,null
,Task-1/Module-3/Numerical-charts(Line-Graph-Body-Paragraph-1),Not available,null,W,9:20,null,null,null,null
,Task-2/Module-1/Task-2-Fundamentals(Number-of-Paragraphs),Not available,null,W,7:10,null,null,null,null
,Task-2/Module-3/Question-Types,Not available,null,S,4:36,null,null,null,null
,Task-2/Module-3/Part-1-Structure,Not available,null,S,3:06,null,null,null,null
